disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash.x,lastRefresh.x,id.x,femaDeclarationString,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh.y,hash.y,id.y,incidentYear
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,029,99029,Island (County),20108,NA,2023-05-22T03:41:22Z,ee43071067798e67a5918fc7168ae2b4c94ea09e,e59432be-ce69-4690-b724-862c2dea32bb,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,033,99033,King (County),20108,NA,2023-05-22T03:41:22Z,fed72e399fc0744b6b32e4d43d8d2a463c656c57,772a6126-cff6-4a7d-9019-beca35fe0b24,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,041,99041,Lewis (County),20108,NA,2023-05-22T03:41:22Z,25b78460861bb3ff15f8cf9f021ed841d977b86e,f3077e65-6545-4434-88de-374acdce002c,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,045,99045,Mason (County),20108,NA,2023-05-22T03:41:22Z,f671af2d560a456fa834fab154fda56b063af059,dfac65ac-9c98-4241-9d21-e0e53160a16b,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,049,99049,Pacific (County),20108,NA,2023-05-22T03:41:22Z,4901de7ef3f0226f84447641ecd1220f4e15e32f,c1adcd9a-957c-40b1-bc7c-998583016f0a,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,055,99055,San Juan (County),20108,NA,2023-05-22T03:41:22Z,1bc3bbb48b93422c1e85982c361ad5e717783a26,7c4c2329-c9f8-466a-a60d-6f03bd25b11d,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,057,99057,Skagit (County),20108,NA,2023-05-22T03:41:22Z,7c82b1c12a7344f5dcb329b3267de553dd3a05b5,2e72df3d-aa3b-4a6a-868c-ca2a1ee12055,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,061,99061,Snohomish (County),20108,NA,2023-05-22T03:41:22Z,964ddc1afd81037d3d28e3936578647725a5e2b2,45f650c8-dc61-4b36-b1f2-e695d0930c99,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,067,99067,Thurston (County),20108,NA,2023-05-22T03:41:22Z,3a3363700079ee2b3c9651a695e3e80d6fa274e4,a9acea26-ef9b-46a9-bdc9-0e850fb0beea,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,069,99069,Wahkiakum (County),20108,NA,2023-05-22T03:41:22Z,ff8eca03c4718c7bb4c94b1cbc670ff3c0c6da2b,6b53e559-6d46-46f0-9326-11d7c8745128,2020
